cluster,label,coherence,n_docs,n_words
-1,"deep network, network deep, neural network, deep neural, deep cnn, deep feature, convolutional neural, convolutional network, neural, deep convolutional",0.7632866867089017,21203,6
0,"deep neural, neural network, neural, sery prediction, sery forecasting, time sery, artificial neural, convolutional neural, sery, prediction",0.5617994436594149,1213,9
1,"collaborative filtering, recommender system, recommender, recommendation system, recommendation algorithm, item recommendation, recommendation, neural, deep neural, neural network",0.47675026714379076,1122,10
2,"adversarial network, adversarial, adversarial machine, adversarial attack, network deep, adversarial training, deep network, deep neural, neural network, adversarial perturbation",0.5028286457277107,2064,8
3,"neural language, neural machine, recurrent network, natural language, language processing, language modeling, neural network, neural, machine translation, deep neural",0.5354161989982701,10529,10
4,"heuristic search, heuristic algorithm, planning algorithm, evolutionary algorithm, genetic algorithm, search algorithm, evolutionary computation, planning problem, algorithm, genetic programming",0.32466001464413424,1502,9
5,"deep reinforcement, bayesian reinforcement, reinforcement, artificial intelligence, bandit algorithm, bandit problem, inverse reinforcement, policy gradient, deep neural, multi-armed bandit",0.2209596737449408,4877,13
6,"generative network, network generative, deep generative, generative adversarial, gan generative, wasserstein gan, gan training, generative, adversarial network, adversarial",0.46868543953447406,1630,7
7,"facial image, face image, recognition, face recognition, facial expression, image, face, visual, face detection, deep neural",0.4087193701526938,2778,9
8,"deep network, network deep, deep neural, convolutional network, neural network, convolutional neural, deep cnn, neural, segmentation network, deep convolutional",0.7549020207354301,25874,6
9,"bayesian network, bayesian structure, network bayesian, causal bayesian, bayesian inference, bayesian belief, bayesian, causal inference, causal network, inference",0.49100038156954207,1250,6
10,"set semantic, set programming, logic, reasoning, constraint programming, set, answer set, semantic, system, description logic",0.4221743499154583,2162,9
