cluster,label,coherence,n_docs,n_words
-1,"deep neural network, deep learning neural, network deep neural, deep learning network, neural network deep, neural network, learning neural network, deep learning deep, learning deep neural, deep learning approach",0.6551585640575609,21203,5
0,"neural network, neural network neural, learning neural network, deep neural network, neural network system, neural network learning, artificial neural network, deep learning neural, neural network approach, neural network technique",0.4835070909282194,1213,8
1,"collaborative filtering, collaborative filtering algorithm, learning recommendation system, collaborative filtering method, recommendation system recommender, recommendation recommender system, recommendation system recommendation, recommender system, recommendation algorithm, recommendation collaborative filtering",0.5088005999515963,1122,8
2,"adversarial neural network, neural network adversarial, adversarial network, adversarial network deep, neural network deep, adversarial deep learning, deep neural network, deep adversarial learning, network deep neural, training neural network",0.6150172026143245,2064,6
3,"neural network language, neural language model, neural language modeling, neural natural language, recurrent neural network, neural machine, neural machine translation, network recurrent neural, translation neural machine, machine translation neural",0.5257974854171277,10529,9
4,"problem evolutionary algorithm, optimization evolutionary algorithm, evolutionary optimization algorithm, evolutionary programming algorithm, evolutionary algorithm, optimization genetic algorithm, genetic algorithm, algorithm evolutionary algorithm, evolutionary genetic algorithm, algorithm genetic algorithm",0.5007967551356206,1502,6
5,"reinforcement learning reinforcement, reinforcement learning policy, reinforcement learning control, reinforcement learning algorithm, reinforcement learning approach, reinforcement learning system, reinforcement learning environment, reward reinforcement learning, game reinforcement learning, reinforcement learning network",0.37499752434265593,4877,11
6,"generative adversarial network, adversarial network generative, deep generative network, generative adversarial net, network generative adversarial, generative adversarial, generative adversarial neural, generative network, generative neural network, generative adversarial model",0.5329594405943786,1630,7
7,"visual face image, face recognition network, face recognition, deep face recognition, face face recognition, face recognition face, face recognition model, face recognition deep, face image, network face recognition",0.39127724479392956,2778,7
8,"deep neural network, network deep neural, neural network deep, learning deep neural, learning deep network, deep learning network, training deep network, deep learning deep, deep network deep, neural network",0.7432826214754196,25874,5
9,"bayesian network, bayesian network structure, bayesian network inference, bayesian network bayesian, causal bayesian network, bayesian network model, data bayesian network, learning bayesian network, inference bayesian network, network bayesian network",0.5003153376825549,1250,8
10,"constraint logic programming, programming logic programming, logic programming semantic, constraint logic program, logic programming language, logic programming system, answer set programming, logic programming framework, set programming, disjunctive logic programming",0.4594038673051241,2162,11
